wanted_loss,mae,mse,r2,t_test_p_value,found_eq
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
32.582748861103696,1.0363740362145293,6.366038993633228,-0.07470446711848955,2.286578843397342e-163,"div(add(rhop, sub(V, mul(add(0.371, d), rhop))), mul(add(0.371, d), rhop))"
